Code;Brand;Name;Address;Zip;City;Latitude;Longitude;Visa;Mastercard;Amex;Dinersclub;Eurotrafic;GR Actys Eurotrafic;GR Netherlands;Jubileo;Bank Card;DKV;UTA;Carte Club TOTAL;Super Ethanol e85;sp95;sp95 performance;sp95 e10;Optane Evolution 95;sp98;sp98 performance;Excellium 98;Optane Evolution 98;Gasoil;Diesel Excelan;Excellium diesel;Diesel Evolution;Lpg;AdBlue;GNR;AVGAS 100 LL;Gas Bottled;Fuel Automate;Shop;Coffee Corner;Bakerie;Sandwitcherie;BDGrill;Crocade;Baby Kit;Car Wash;Car Wash HP;Car Maintenance;Tyre Center;Truck Station;Vacuum;Diesel Premier;Gasoil Performance;Total Fioul Premier;Highway;FreeWifi;Car Wash Lotus;Car Wash Osmos;Tyre Pressure
NF003269;TOTAL;STE GATT ET FILS SARL;RN 193 PONTE NUOVO;20235;CASTELLO DI ROSTINO;42.48827;9.28281;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;yes;no;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF003341;TOTAL;EURL ARDILLETS AUTOMOBILES SERVICES;6 RUE DES ARDILLETS;44220;COUERON;47.21412;-1.718513;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no
NF003217;TOTAL Access;RELAIS ORSAN;ROUTE D'AVIGNON - RN 580;30200;ORSAN;44.1382;4.66699;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;yes
NF003355;TOTAL;SARL RELAIS CHASSELAS;43 AVENUE DU CHASSELAS;82200;MOISSAC;44.1099;1.10247;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;no;no;no;no
NF003475;TOTAL Access;RELAIS MONTREUIL SUEUR;48-54 BOULEVARD THEOPHILE SUEUR;93100;MONTREUIL;48.868731;2.470325;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;yes;yes;no;no
NF003675;TOTAL;SASU CARROSSERIE AMS;2 ROUTE DE NONTRON;24300;ST MARTIAL DE VALETTE;45.519789;0.655576;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no
NF003611;TOTAL;MME WERKLE ELIANE;2 RUE PRINCIPALE;67112;BREUSCHWICKERSHEIM;48.58035;7.611307;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no
NF003749;TOTAL Access;RELAIS BALMA;43 AVENUE DES AEROSTIERS;31130;BALMA;43.6097;1.49267;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;yes
NF003584;TOTAL;LANFRANCHI ANTHONY;RN 850;20190;SANTA MARIA SICHE;41.8778;8.9814;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF006489;TOTAL;RELAIS RUEIL MALMAISON;119 AVENUE DU PDT POMPIDOU;92500;RUEIL MALMAISON;48.868249;2.199031;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;yes;no;yes;no;no;yes;no;no;no;no;yes;no;yes;yes
