Code;Brand;Name;Address;Zip;City;Latitude;Longitude;Visa;Mastercard;Amex;Dinersclub;Eurotrafic;GR Actys Eurotrafic;GR Netherlands;Jubileo;Bank Card;DKV;UTA;Carte Club TOTAL;Super Ethanol e85;sp95;sp95 performance;sp95 e10;Optane Evolution 95;sp98;sp98 performance;Excellium 98;Optane Evolution 98;Gasoil;Diesel Excelan;Excellium diesel;Diesel Evolution;Lpg;AdBlue;GNR;AVGAS 100 LL;Gas Bottled;Fuel Automate;Shop;Coffee Corner;Bakerie;Sandwitcherie;BDGrill;Crocade;Baby Kit;Car Wash;Car Wash HP;Car Maintenance;Tyre Center;Truck Station;Vacuum;Diesel Premier;Gasoil Performance;Total Fioul Premier;Highway;FreeWifi;Car Wash Lotus;Car Wash Osmos;Tyre Pressure
NF015086;TOTAL;MR PIAC ADRIEN;RTE DE MARMANDE;47700;CASTELJALOUX;44.317209;0.093962;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;yes;no;no;no;yes;no;yes;yes;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015177;TOTAL;RELAIS D'EPAGNY SARL;ROUTE NATIONALE 508 - GILLON;74330;EPAGNY;45.924462;6.088469;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015315;ELAN;ETS EZAN SARL;TOULBROCHE;56870;BADEN;47.622875;-2.898832;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015833;TOTAL;SARL GUILLARD AUTOMOBILES;LIEU DIT LE SALFRENIER;72320;VIBRAYE;48.058751;0.729002;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015872;TOTAL;MONSIEUR DAVID LESAUVAGE ET MADAME;LE BOURG;7120;GROSPIERRES;44.408488;4.294286;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015878;ELAN;GARAGE DE LA GARE;27 PLACE DE LA GARE;10130;ERVY LE CHATEL;48.045782;3.921851;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015829;ELAN;VERN AUTO SERVICE;1 ROUTE DE CHOLET;49220;VERN D'ANJOU;47.598589;-0.834003;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014629;ELAN;BOISCHAULT MOTOCULTURE SARL;LE BOURG;18160;TOUCHAY;46.71418;2.209801;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014621;ELAN;SARL PIRONON GUY;ROUTE DE LIMOGES;19210;LUBERSAC;45.3978;1.39333;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014637;ELAN;BERLINAUTO;ROUTE DE LA MER 1;17540;ANGLIERS;46.21286;-0.953934;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014600;ELAN;EURL CHATELIER;ROUTE DE POMPADOUR;24270;PAYZAC;45.3986;1.22306;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015060;ELAN;ACHIBANE ABDELLAH GGE VARENNE;17 BLD DES INVALIDES;75007;PARIS;48.856235;2.315393;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015059;ELAN;GARAGE CORNEC GENEVIEVE;ROUTE DE GOUAREC;22110;PLOUGUERNEVEL;48.2377;-3.24717;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014334;ELAN;PESNELLE BERTRAND;LE BOURG;50760;ANNEVILLE EN SAIRE;49.63745;-1.285652;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015012;ELAN;M PIRA PASCAL;RELAIS DU MILHAN;47200;VIRAZEIL;44.5047;0.222495;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;yes;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014992;ELAN;SARL ESCLARMONDE;RD 929;65410;SARRANCOLIN;42.9622;0.379441;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015414;ELAN;GARAGE DES QUATRES ROUTES SARL;5 ROUTE DE FAY AUX LOGES;45530;VITRY AUX LOGES;47.933826;2.266246;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015393;ELAN;GGE CAZENAVE GREGORY;138 RUE DE CHARTRES;28800;BONNEVAL;48.191973;1.392012;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015445;ELAN;GARNIER BERTRAND;LA CHAPELLE DU CHENE;53320;LOIRON;48.070762;-0.932802;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015399;ELAN;GARAGE GRANGER;LES BACHATS;43600;SAINTE SIGOLENE;45.248899;4.23864;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014322;ELAN;GARAGE SANREY ERIC;AVENUE DE CHAMPAGNE 14;52190;VAUX SOUS AUBIGNY;47.658014;5.290259;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014976;ELAN;SARL SAVARY GARAGE;108 RUE ABBE PHILIPPE LEGALL;56400;AURAY;47.674581;-3.001595;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014237;ELAN;SARL POTTIER JEAN CLAUDE;ROUTE DE CARROUGES;61570;BOUCE;48.640943;-0.091121;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014910;ELAN;MR COUSIN JOEL;LA PEYRIERE;33190;MONTAGOUDIN;44.5731;-0.002498;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;yes;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014292;ELAN;SNC LA CIGALE;LE BOURG;56220;CADEN;47.632016;-2.288115;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015385;ELAN;SARL GARAGE M. THOMAS;ROUTE DE COURSEULLES;14990;BERNIERES SUR MER;49.329816;-0.4328;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015320;TOTAL;SARL GOUESNOU AUTOMOBILES;25 ROUTE DE BREST;29850;GOUESNOU;48.44802;-4.464709;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015391;ELAN;GARAGE AJ45;ZI LE PETIT LIMETIN;45260;LORRIS;47.878787;2.529804;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014381;ELAN;SAUTEJEAU BER.GARAGE;ROND POINT DU MOULIN DES LANDES;49122;BEGROLLES EN MAUGES;47.14022;-0.932949;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014400;ELAN;LAGARDE PÈRE ET FILS;14 RUE DE MONTARGIS - LE HAUT BOURG;45260;THIMORY;47.922878;2.601541;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015674;ELAN;GARAGE MAZIARSKI;95 RUE PAUL VAILLANT COUTURIER;58160;IMPHY;46.923807;3.267901;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015676;ELAN;SNC PROVOST;ZA DES SAINFOINS;61390;COURTOMER;48.6222;0.348143;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015917;ELAN;GIRARD DIDIER GARAGE CHARLES VII;12 Av RAOUL ALADENIZE;18500;MEHUN /YEVRE;47.145343;2.220475;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015911;TOTAL;SARL BELLEFRISE;69 AVENUE DE LA REPUBLIQUE;39300;CHAMPAGNOLE;46.7429;5.91199;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014682;ELAN;LE RELAIS DE ST CYR;RUE DE COPPLESTONE 35;14290;VALOBRIQUET;49.054313;0.296571;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014641;ELAN;SEUREAU GARAGE;LA POTENCE A FOREAU;17380;TONNAY BOUTONNE;45.972819;-0.712483;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015915;ELAN;SACE;128 AV JOFFRE;93800;EPINAY SUR SEINE;48.961463;2.295915;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014659;ELAN;GARAGE GUILLIN;LOUBINET;15500;VIEILLESPESSE;45.130454;3.146468;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014643;ELAN;PLANTY;17 RUE SAINT JEAN;17330;LOULAY;46.045454;-0.512743;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015455;ELAN;SARL CEYZERIAT;ROUTE DE GENEVE 573;1640;ST-JEAN-LE-VIEUX;46.034893;5.389484;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015474;TOTAL;GARAGE HONORAT;QUARTIER ST JEAN;4360;MOUSTIER STE MARIE;43.843954;6.214587;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015509;ELAN;SARL LABROUSSE;ROUTE D'ANGOULEME 13;16600;MAGNAC SUR TOUVRE;45.664447;0.237314;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015505;ELAN;SCIE FILS SARL;45 ROUTE DE NERAC;47310;ESTILLAC;44.1833;0.574171;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015522;ELAN;SARL AUTO NORD 24;RN 21;24450;FIRBEIX;45.5992;0.974172;yes;yes;no;no;yes;yes;yes;yes;yes;yes;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014431;ELAN;GOUINEAU JEAN FRANÇOIS;7 RUE DE LA GROTTE;41210;LA MAROLLE EN SOLOGNE;47.5837;1.777619;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015707;TOTAL;SARL L 'ECLUSE;1 RUE PIERRE BROSSOLETTE;33230;COUTRAS;45.0358;-0.145555;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015698;TOTAL;MR PECASSOU PAUL;RN 117;65190;TOURNAY;43.185228;0.23929;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014421;ELAN;GARAGE DE LA VARIZELLE;13 ROUTE DE LA VARIZELLE;42400;ST CHAMOND;45464.122;4493.1615;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015606;ELAN;EURL MONZIE ALEXANDRE;RTE DE BERGERAC;24480;LE BUISSON DE CADOUIN;45.8564;0.916392;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015569;ELAN;SARL BOUSQUET;ROUTE DE MILLAU;81430;VILLEFRANCHE D'ALBIGEOIS;43.894433;2.341654;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015524;ELAN;GARAGE BLANC;LOURADOU VEZAC;15130;ARPAJON SUR CERE;44.900872;2.51111;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015554;ELAN;MR RIGAL JEROME;LE RACANEL;12390;RIGNAC;44.414823;2.277046;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015536;ELAN;MR LABORDE JEAN;RN 134;64680;HERRERE;43.170887;-0.533025;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015979;TOTAL;SAS GARAGE 2S AUTO;MONTBRISON SUR LEZ;26770;MONTBRISON SUR LEZ;44.437288;5.01888;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014711;TOTAL;SARL RELAIS DE LA BEILLE;LE BOURG;9310;LES CABANNES;42.7858;1.68305;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015944;ELAN;TRUCHE ETS;ROUTE DES BURGONDES 832;1410;CHAMPFROMIER;46.192252;5.814064;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015985;ELAN;SARL GARAGE DENAMBRIDE;LES HOTTES;74440;VERCHAIX;46.0933;6.67157;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015946;ELAN;EURL HERCHIN;D 349;62140;AUBIN ST VAAST;50.390697;1.974146;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014772;ELAN;SARL FLACHER;D. 519;38260;MARCILLOLES;45.3409;5.19151;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014115;ELAN;NEAU;LA RAMPIERRE;79160;ST LAURS;46.5232;-0.575632;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015128;TOTAL;SARL GGE VENET DES MENUIRES;LES MENUIRES;73440;ST MARTIN DE BELLEVILLE;45.327;6.53518;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015094;TOTAL;EURL MANIERE CHRISTINE;ROUTE DE BERGERAC;24500;EYMET;44.676057;0.405309;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;yes;no;no;no;yes;no;yes;yes;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015115;TOTAL;SARL GDLC;LIEU-DIT LE CHEF-LIEU;74260;LES GETS;46.161517;6.672967;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015105;ELAN;BELLOCHE PHILIPPE;route de Laval;53100;MOULAY;48.270369;-0.62537;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014871;ELAN;SARL GARAGE GRIEU;RUE CHARLES DE GAULLE 973;76640;FAUVILLE EN CAUX;49.652588;0.588253;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014029;ELAN;POITOU CARBURANTS;RUE GENERAL DE GAULLE 32;87320;BUSSIERE POITEVINE;46.237243;0.901273;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014706;ELAN;MME GUILLEMET NATHALIE;16 RUE DE L'ILE AUX TRONCS;10380;BOULAGES;48.576286;3.916562;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014764;TOTAL;GARAGE THOMAS;74  AVENUE DE PARIS;2310;MONTREUIL AUX LIONS;49.021088;3.188743;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014861;TOTAL;SARL LEVEQUE;121 AVENUE DE LA PLAGE;40600;BISCARROSSE;44.4414;-1.24111;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;yes;no;no;no;yes;no;yes;yes;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014043;ELAN;JOUFFROY M-NOELLE;20 PL FR.FREZELLE;86420;MONTS SUR GUESNES;46.919428;0.210726;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014753;ELAN;SARL BLATGER;1 AV DR PAUL BENET;82140;ST ANTONIN NOBLE VAL;44.1533;1.75417;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014739;ELAN;GERAY JEAN-PAUL;RTE LOUHANS LA TOURNELLE;1270;PIRAJOUX;46.4038;5.241341;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014687;ELAN;MR HERVOUET;LE BOURG;14130;LE BREUIL EN AUGE;49.2306;0.226051;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014869;ELAN;RICHER;50 RUE CARNOT;37220;ILE BOUCHARD;47.117662;0.417472;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015158;ELAN;GARAGE DE L'AVENIR;9 RUE DE LA LIBERATION;22980;PLELAN LE PETIT;48.426942;-2.214485;yes;yes;no;no;yes;yes;yes;yes;yes;yes;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015138;ELAN;SARL GARAGE HORNET;STATION-SERVICE;14100;SAINT DENIS DE MAILLOC;49.086681;0.312661;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF015130;ELAN;AUTO DAUPHINE LANCEY;BOULEVARD DE POLOGNE;38190;VILLARD-BONNOT;45.237704;5.887182;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
